battery_id,cycles_last_24h,cycles_last_7d,cycles_last_30d,total_cycles
02020202002903ec00000000,1.81,8.89,10.09,10.09
03e9014b10e640a500000000,0.66,8.01,110.5,110.5
03e9014b10e640a900000000,1.46,5.09,9.49,9.49
03e9014b10e640ac00000000,0.16,0.16,0.16,0.16
03e9014b10e640b000000000,1.04,5.76,8.74,8.74
03e9014b10e640b200000000,0.15,3.97,10.66,10.66
03e9014b10e640b700000000,0.72,6.68,28.83,28.83
03e9014b10e640b800000000,0.01,0.11,1.64,1.64
03e9014b10e640c000000000,0.16,1.49,3.94,3.94
03e9014b10e640cf00000000,0.01,0.12,2.25,2.25
03e9014b10e640da00000000,0.02,0.1,1.72,1.72
03e9014b10e640dd00000000,0.02,0.84,2.94,2.94
03e9014b10e640e300000000,0.54,2.21,4.85,4.85
03e9014b10e640e400000000,1.08,8.2,49.76,49.76
03e9014b10e640e500000000,0.17,2.83,4.71,4.71
03e9014b10e640ec00000000,1.57,6.62,57.59,57.59
03e9014b10e640ed00000000,1.59,4.98,110.63,110.63
03e9014b10e640ee00000000,0.3,2.5,27.6,27.6
03e9014b10e640f400000000,1.02,6.28,102.34,102.34
03e9014b10e6410200000000,0.01,0.32,0.32,0.32
03e9014b10e6410400000000,0.0,0.0,0.0,0.0
03e9014b10e6410500000000,1.86,10.26,96.0,96.0
03e9014b10e6410700000000,2.16,11.97,180.12,180.12
03e9014b10e6410800000000,0.01,0.34,2.67,2.67
03e9014b10e6410900000000,1.46,8.0,86.79,86.79
03e9014b10e6410c00000000,0.71,5.89,15.35,15.35
03e9014b10e6410f00000000,1.03,7.73,34.03,34.03
03e9014b10e6411100000000,0.83,8.3,107.78,107.78
03e9014b10e6411200000000,0.14,1.94,6.04,6.04
03e9014b10e6412300000000,0.06,0.16,3.42,3.42
03e9014b10e6412700000000,1.18,7.58,46.52,46.52
03e9014b10fd001600000000,0.01,0.27,0.27,0.27
03e9014b10fd001f00000000,0.0,0.29,0.31,0.31
03e9014b10fd007c00000000,0.0,0.0,0.0,0.0
070000000b0a0b2c00000000,1.0,1.0,1.0,1.0
0700005f0a0a130400000000,1632.4,14474.96,16692.1,16692.1
fc00021400d3c07400000000,0.03,1.29,70.14,70.14
fd00021800ce06a900000000,0.0,0.0,3.0,3.0
fe00014100d3c00700000000,1.14,5.52,14.86,14.86
fe00014100d3c02000000000,0.24,2.97,56.83,56.83
fe00014100d3c02d00000000,0.02,0.1,13.64,13.64
fe00014100d3c04300000000,0.01,0.11,199.25,199.25
fe00014100d3c06500000000,0.0,0.0,53.54,53.54
fe00014100d3c09800000000,1.38,5.3,7.4,7.4
fe00014100d3c0be00000000,1.41,8.13,19.61,19.61
fe00014100d3c0ff00000000,1.64,7.31,37.74,37.74
fe00014100d3c14a00000000,0.01,10.35,162.09,162.09
